f_city_code,f_utc_offset,f_timezone_name
SIN,+08:00,Asia/Singapore
HKG,+08:00,Asia/Hong_Kong
LON,+01:00,Europe/London
YVR,-07:00,America/Vancouver
SUB,+07:00,Asia/Jakarta
SGN,+07:00,Asia/Ho_Chi_Minh
TRV,+05:30,Asia/Kolkata
TPE,+08:00,Asia/Taipei
SYD,+10:00,Australia/Sydney
SZG,+02:00,Europe/Vienna
PEN,+08:00,Asia/Kuala_Lumpur
BJS,+08:00,Asia/Shanghai
NGO,+09:00,Asia/Tokyo
TYO,+09:00,Asia/Tokyo
RUH,+03:00,Asia/Riyadh
SHA,+08:00,Asia/Shanghai
BKK,+07:00,Asia/Bangkok
BNE,+10:00,Australia/Sydney
BOM,+05:30,Asia/Kolkata
BWN,+08:00,Asia/Brunei
JKT,+07:00,Asia/Jakarta
CPT,+02:00,Africa/Johannesburg
DAC,+06:00,Asia/Dhaka
DPS,+08:00,Asia/Makassar
MDC,+08:00,Asia/Makassar
PLM,+07:00,Asia/Jakarta
PNH,+07:00,Asia/Phnom_Penh
KLU,+02:00,Europe/Vienna
SEA,-07:00,America/Los_Angeles
VIE,+02:00,Europe/Vienna
KUL,+08:00,Asia/Kuala_Lumpur
MLE,+05:00,Indian/Maldives
MNL,+08:00,Asia/Manila
MAN,+01:00,Europe/London
LNZ,+02:00,Europe/Vienna
CNX,+07:00,Asia/Bangkok
COK,+05:30,Asia/Kolkata
LAX,-07:00,America/Los_Angeles
GRZ,+02:00,Europe/Vienna
HYD,+05:30,Asia/Kolkata
SEL,+09:00,Asia/Seoul
GVA,+02:00,Europe/Zurich
HAN,+07:00,Asia/Ho_Chi_Minh
KCH,+08:00,Asia/Kuching
FRA,+02:00,Europe/Berlin
FUK,+09:00,Asia/Tokyo
ROM,+02:00,Europe/Rome
SPK,+09:00,Asia/Tokyo
DVO,+08:00,Asia/Manila
DXB,+04:00,Asia/Dubai
NYC,-04:00,America/New_York
KTM,+05:45,Asia/Kathmandu
LGK,+08:00,Asia/Kuala_Lumpur
IST,+03:00,Europe/Istanbul
DEL,+05:30,Asia/Kolkata
BLR,+05:30,Asia/Kolkata
BCN,+02:00,Europe/Madrid
PKU,+07:00,Asia/Jakarta
CMB,+05:30,Asia/Colombo
CAN,+08:00,Asia/Shanghai
CCU,+05:30,Asia/Kolkata
BRU,+02:00,Europe/Brussels
CKG,+08:00,Asia/Shanghai
CEB,+08:00,Asia/Manila
AMD,+05:30,Asia/Kolkata
AMI,+08:00,Asia/Makassar
ATH,+03:00,Europe/Athens
ADL,+09:30,Australia/Adelaide
AKL,+12:00,Pacific/Auckland
MOW,+03:00,Europe/Moscow
CHC,+12:00,Pacific/Auckland
RGN,+06:30,Asia/Yangon
CPH,+02:00,Europe/Copenhagen
JNB,+02:00,Africa/Johannesburg
BKI,+08:00,Asia/Kuching
REP,+07:00,Asia/Phnom_Penh
JED,+03:00,Asia/Riyadh
HAK,+08:00,Asia/Shanghai
HDY,+07:00,Asia/Bangkok
CNS,+10:00,Australia/Brisbane
ATQ,+05:30,Asia/Kolkata
IPH,+08:00,Asia/Kuala_Lumpur
KBV,+07:00,Asia/Bangkok
KUA,+08:00,Asia/Kuala_Lumpur
NKG,+08:00,Asia/Shanghai
OOL,+10:00,Australia/Brisbane
MFM,+08:00,Asia/Macau
SHE,+08:00,Asia/Shanghai
SRG,+07:00,Asia/Jakarta
PUS,+09:00,Asia/Seoul
TSN,+08:00,Asia/Shanghai
CRK,+08:00,Asia/Manila
SIA,+08:00,Asia/Shanghai
WUH,+08:00,Asia/Shanghai
BER,+02:00,Europe/Berlin
MAA,+05:30,Asia/Kolkata
MES,+07:00,Asia/Jakarta
TRZ,+05:30,Asia/Kolkata
BDO,+07:00,Asia/Jakarta
VTE,+07:00,Asia/Vientiane
CJU,+09:00,Asia/Seoul
OSA,+09:00,Asia/Tokyo
MUC,+02:00,Europe/Berlin
INN,+02:00,Europe/Vienna
ZRH,+02:00,Europe/Zurich
MDL,+06:30,Asia/Yangon
PAR,+02:00,Europe/Paris
AMS,+02:00,Europe/Amsterdam
PER,+08:00,Australia/Perth
MEL,+10:00,Australia/Sydney
MIL,+02:00,Europe/Rome
CGO,+08:00,Asia/Shanghai
KHN,+08:00,Asia/Shanghai
NNG,+08:00,Asia/Shanghai
TNA,+08:00,Asia/Shanghai
TAO,+08:00,Asia/Shanghai
DRW,+09:30,Australia/Darwin
BPN,+08:00,Asia/Makassar
UPG,+08:00,Asia/Makassar
HKT,+07:00,Asia/Bangkok
SFO,-07:00,America/Los_Angeles
FOC,+08:00,Asia/Shanghai
NGB,+08:00,Asia/Shanghai
BRS,+01:00,Europe/London
CWL,+01:00,Europe/London
OXF,+01:00,Europe/London
OKA,+09:00,Asia/Tokyo
SWA,+08:00,Asia/Shanghai
HGH,+08:00,Asia/Shanghai
PSR,+02:00,Europe/Rome
TPS,+02:00,Europe/Rome
JOG,+07:00,Asia/Jakarta
OLB,+02:00,Europe/Rome
AHO,+02:00,Europe/Rome
